df,tfidf,K,alpha,eta,coherence
0.5,0.0075,5,asymmetric,auto,0.455567981
0.5,0.0075,10,asymmetric,auto,0.50898374
0.5,0.0075,15,asymmetric,auto,0.513330774
0.5,0.0075,20,asymmetric,auto,0.5236760809255383
0.5,0.0075,25,asymmetric,auto,0.5272124692201601
0.5,0.0075,30,asymmetric,auto,0.5379936891389983
0.5,0.0075,35,asymmetric,auto,0.5462238914494466
0.5,0.0075,40,asymmetric,auto,0.5356679110045541
0.5,0.0075,45,asymmetric,auto,0.5317856323152148
0.5,0.0075,50,asymmetric,auto,0.5439640054537598
0.5,0.0075,55,asymmetric,auto,0.5317365948067311
0.5,0.0075,60,asymmetric,auto,0.5521829739091918
0.5,0.0075,65,asymmetric,auto,0.5315966267515746
0.5,0.0075,70,asymmetric,auto,0.5337998605494398
0.5,0.0075,75,asymmetric,auto,0.5144612327398516
0.5,0.0075,80,asymmetric,auto,0.5204085585840843
0.5,0.0075,85,asymmetric,auto,0.5239707647124124
0.5,0.0075,90,asymmetric,auto,0.5329229663663413
0.5,0.0075,95,asymmetric,auto,0.5191729784441365
0.5,0.0075,100,asymmetric,auto,0.5187778005941618
0.5,0.0075,105,asymmetric,auto,0.5247837934904651
0.5,0.0075,110,asymmetric,auto,0.5073750879520957
0.5,0.0075,115,asymmetric,auto,0.5149751771535445
0.5,0.0075,120,asymmetric,auto,0.5076113731271046
0.5,0.0075,125,asymmetric,auto,0.5122519269888322
0.5,0.0075,130,asymmetric,auto,0.5002724448734791
0.5,0.0075,135,asymmetric,auto,0.5003210640292312
0.5,0.0075,140,asymmetric,auto,0.5054743072167039
0.5,0.0075,145,asymmetric,auto,0.4970475805040332
0.5,0.0075,150,asymmetric,auto,0.4986656349704448
0.5,0.0075,155,asymmetric,auto,0.4900424925716857
0.5,0.0075,160,asymmetric,auto,0.4916158042433609
0.5,0.0075,165,asymmetric,auto,0.4848657942978877
0.5,0.0075,170,asymmetric,auto,0.474732076
0.5,0.0075,175,asymmetric,auto,0.481035298
0.5,0.0075,180,asymmetric,auto,0.484216814
0.5,0.0075,185,asymmetric,auto,0.474816156
0.5,0.0075,190,asymmetric,auto,0.466686367
0.5,0.0075,195,asymmetric,auto,0.479971904
0.5,0.0075,200,asymmetric,auto,0.484074372
0.5,0.0075,205,asymmetric,auto,0.473817961
0.5,0.0075,210,asymmetric,auto,0.470448482
0.5,0.0075,215,asymmetric,auto,0.46763652
0.5,0.0075,220,asymmetric,auto,0.464604913
0.5,0.0075,225,asymmetric,auto,0.470533806
0.5,0.0075,230,asymmetric,auto,0.459211945
0.5,0.0075,235,asymmetric,auto,0.458507086
0.5,0.0075,240,asymmetric,auto,0.458313716
0.5,0.0075,245,asymmetric,auto,0.460669233
0.5,0.0075,250,asymmetric,auto,0.463938721
0.5,0.0075,255,asymmetric,auto,0.451479391
0.5,0.0075,260,asymmetric,auto,0.460284894
0.5,0.0075,265,asymmetric,auto,0.458482232
0.5,0.0075,270,asymmetric,auto,0.449199723
0.5,0.0075,280,asymmetric,auto,0.452935572
0.5,0.0075,290,asymmetric,auto,0.450158982
0.5,0.0075,300,asymmetric,auto,0.444388626
