df,tf-idf,$K$,$\alpha$,$\eta$,C_V \; coherence
0.5,0.0075,60,symmetric,symmetric,0.531902784
0.5,0.0075,60,symmetric,auto,0.53104507
0.5,0.0075,60,asymmetric,symmetric,0.545107616
0.5,0.0075,60,asymmetric,auto,0.552182974
0.5,0.015,60,symmetric,symmetric,0.524148723
0.5,0.015,60,symmetric,auto,0.543684216
0.5,0.015,60,asymmetric,symmetric,0.52842804
0.5,0.015,60,asymmetric,auto,0.523044239
1,0.0075,60,symmetric,symmetric,0.526614689
1,0.0075,60,symmetric,auto,0.536799052
1,0.0075,60,asymmetric,symmetric,0.527374132
1,0.0075,60,asymmetric,auto,0.520163908
1,0.015,60,symmetric,symmetric,0.53214325
1,0.015,60,symmetric,auto,0.534906632
1,0.015,60,asymmetric,symmetric,0.518847416
1,0.015,60,asymmetric,auto,0.50436492
